Tanggal;Harga
22-Mar-17;98000
23-Mar-17;74000
24-Mar-17;74000
25-Mar-17;74000
26-Mar-17;74000
27-Mar-17;69000
28-Mar-17;67000
29-Mar-17;65000
30-Mar-17;65000
31-Mar-17;65000
01-Apr-17;65000
02-Apr-17;65000
03-Apr-17;65600
04-Apr-17;61800
05-Apr-17;61400
06-Apr-17;57000
07-Apr-17;55000
08-Apr-17;52600
09-Apr-17;52600
10-Apr-17;51000
11-Apr-17;50000
12-Apr-17;50000
13-Apr-17;51000
14-Apr-17;51000
15-Apr-17;51000
16-Apr-17;51000
17-Apr-17;49400
18-Apr-17;52400
19-Apr-17;51400
20-Apr-17;51400
21-Apr-17;53000
22-Apr-17;53000
23-Apr-17;53000
24-Apr-17;51400
25-Apr-17;50000
26-Apr-17;48800
27-Apr-17;52000
28-Apr-17;51600
29-Apr-17;51600
30-Apr-17;51600
01-Mei-17;52600
02-Mei-17;53200
03-Mei-17;53000
04-Mei-17;53400
05-Mei-17;54600
06-Mei-17;54600
07-Mei-17;54600
08-Mei-17;55400
09-Mei-17;55400
10-Mei-17;58400
11-Mei-17;57400
12-Mei-17;55400
13-Mei-17;55400
14-Mei-17;55400
15-Mei-17;49600
16-Mei-17;48800
17-Mei-17;48800
18-Mei-17;49600
19-Mei-17;47000
20-Mei-17;48000
21-Mei-17;48600
22-Mei-17;46400
23-Mei-17;47200
24-Mei-17;47400
25-Mei-17;47400
26-Mei-17;47000
27-Mei-17;47000
28-Mei-17;47000
29-Mei-17;46800
30-Mei-17;46200
31-Mei-17;43000
01-Jun-17;43000
02-Jun-17;44800
03-Jun-17;44800
04-Jun-17;44800
05-Jun-17;35200
06-Jun-17;32200
07-Jun-17;30800
08-Jun-17;30400
09-Jun-17;30000
10-Jun-17;30000
11-Jun-17;30000
12-Jun-17;27800
13-Jun-17;27200
14-Jun-17;27200
15-Jun-17;27600
16-Jun-17;28000
17-Jun-17;27800
18-Jun-17;28200
19-Jun-17;29000
20-Jun-17;30400
21-Jun-17;30400
22-Jun-17;30800
23-Jun-17;30200
24-Jun-17;35000
25-Jun-17;36400
26-Jun-17;36000
27-Jun-17;36400
28-Jun-17;35400
29-Jun-17;35400
30-Jun-17;33800
01-Jul-17;33800
02-Jul-17;33800
03-Jul-17;30400
04-Jul-17;27400
05-Jul-17;26000
06-Jul-17;26800
07-Jul-17;26200
08-Jul-17;26000
09-Jul-17;27800
10-Jul-17;32200
11-Jul-17;31400
12-Jul-17;31600
13-Jul-17;32000
14-Jul-17;34800
15-Jul-17;34800
16-Jul-17;34800
17-Jul-17;34600
18-Jul-17;35200
19-Jul-17;38600
20-Jul-17;37600
21-Jul-17;40600
22-Jul-17;40600
23-Jul-17;40600
24-Jul-17;39000
25-Jul-17;35800
26-Jul-17;35600
27-Jul-17;35800
28-Jul-17;34400
29-Jul-17;34400
30-Jul-17;34400
31-Jul-17;36600
01-Agu-17;36600
02-Agu-17;35600
03-Agu-17;35600
